color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,9.9,0.49,0.23,2.4,0.087,19.0,4.7535901911063645,0.9948,2.77,0.44,9.4,6
0,7.7,0.28,0.35,15.3,0.056,31.0,4.770684624465665,0.9998,3.27,0.5,9.6,5
1,11.6,0.475,0.4,1.4,0.091,6.0,3.367295829986474,0.99704,3.07,0.65,10.0333333333333,6
1,7.7,0.18,0.34,2.7,0.066,15.0,4.07753744390572,0.9947,3.37,0.78,11.8,6
0,7.1,0.35,0.27,3.1,0.034,28.0,4.90527477843843,0.9897,3.26,0.38,13.1,7
0,6.2,0.235,0.34,1.9,0.036,4.0,4.770684624465665,0.99032,3.4,0.44,12.2,5
0,6.7,0.34,0.4,2.1,0.033,34.0,4.718498871295094,0.98924,2.97,0.48,12.2,7
1,7.0,0.45,0.34,2.7,0.082,16.0,4.290459441148391,0.998,3.55,0.6,9.5,5
0,6.9,0.28,0.27,2.1,0.036,42.0,4.804021044733257,0.9926,3.42,0.49,10.8,7
0,7.0,0.44,0.24,12.1,0.056,68.0,5.351858133476067,0.99718,3.05,0.5,9.5,5
0,5.1,0.21,0.28,1.4,0.047,48.0,5.003946305945459,0.99168,3.5,0.49,10.4,5
1,8.6,0.635,0.68,1.8,0.403,19.0,4.04305126783455,0.99632,3.02,1.15,9.3,5
0,5.0,0.455,0.18,1.9,0.036,33.0,4.672828834461906,0.98746,3.21,0.83,14.0,7
0,6.1,0.17,0.21,1.9,0.09,44.0,4.875197323201151,0.99255,3.07,0.41,9.7,5
0,6.3,0.29,0.29,3.3,0.037,32.0,4.948759890378168,0.9895,3.17,0.36,12.8,7
0,8.3,0.49,0.23,6.65,0.034,6.0,5.0689042022202315,0.99344,3.05,0.48,11.2,5
1,11.1,0.44,0.42,2.2,0.064,14.0,2.995732273553991,0.99758,3.25,0.57,10.4,6
1,7.0,0.38,0.49,2.5,0.097,33.0,4.454347296253507,0.9962,3.39,0.77,11.4,6
0,6.5,0.43,0.28,11.25,0.032,31.0,4.477336814478207,0.9922,3.02,0.38,12.4,6
0,7.1,0.29,0.49,1.2,0.031,32.0,4.605170185988092,0.9893,3.07,0.33,12.2,6
0,6.5,0.15,0.32,1.3,0.036,19.0,4.343805421853684,0.98964,3.18,0.41,12.3,6
1,7.3,0.48,0.32,2.1,0.062,31.0,4.007333185232471,0.99728,3.3,0.65,10.0,7
0,7.0,0.15,0.28,14.7,0.051,29.0,5.0106352940962555,0.99792,2.96,0.39,9.0,7
0,7.8,0.4,0.49,7.8,0.06,34.0,5.093750200806762,0.9966,3.26,0.58,11.3,6
1,12.0,0.63,0.5,1.4,0.071,6.0,3.295836866004329,0.99791,3.07,0.6,10.4,4
0,7.3,0.28,0.42,1.2,0.033,29.0,4.962844630259907,0.99205,3.17,0.43,10.7,4
0,7.3,0.27,0.3,1.3,0.04,26.0,4.442651256490317,0.99222,3.28,0.53,10.7,6
0,7.1,0.34,0.15,1.2,0.053,61.0,5.214935757608986,0.9936,3.09,0.43,9.2,5
0,6.6,0.36,0.52,10.1,0.05,29.0,4.948759890378168,0.99628,3.07,0.4,9.4,5
0,6.8,0.37,0.28,1.9,0.024,64.0,4.672828834461906,0.98993,3.45,0.6,12.6,8
1,7.7,0.56,0.08,2.5,0.114,14.0,3.8501476017100584,0.9971,3.24,0.66,9.6,6
1,8.2,0.26,0.34,2.5,0.073,16.0,3.871201010907891,0.99594,3.4,0.78,11.3,7
0,7.0,0.27,0.36,20.7,0.045,45.0,5.14166355650266,1.001,3.0,0.45,8.8,6
0,7.7,0.3,0.42,14.3,0.045,45.0,5.365976015021851,0.9991,3.18,0.63,9.2,5
0,6.5,0.41,0.22,4.8,0.052,49.0,4.962844630259907,0.9946,3.14,0.62,9.2,5
0,9.6,0.29,0.46,1.45,0.039,77.5,5.4116460518550396,0.9944,2.92,0.46,9.5,6
0,7.8,0.21,0.49,1.2,0.036,20.0,4.605170185988092,0.99,3.05,0.28,12.1,7
1,6.4,0.53,0.09,3.9,0.123,14.0,3.4657359027997265,0.9968,3.5,0.67,11.0,4
0,5.8,0.32,0.2,2.6,0.027,17.0,4.820281565605037,0.98936,3.36,0.78,13.9,7
1,6.8,0.59,0.1,1.7,0.063,34.0,3.9889840465642745,0.9958,3.41,0.67,9.7,5
0,6.8,0.2,0.25,6.2,0.052,22.0,4.672828834461906,0.9935,3.09,0.54,10.8,5
0,5.5,0.34,0.26,2.2,0.021,31.0,4.787491742782046,0.98919,3.55,0.49,13.0,8
1,7.8,0.53,0.33,2.4,0.08,24.0,4.976733742420574,0.99655,3.3,0.6,9.5,5
0,5.6,0.34,0.25,2.5,0.046,47.0,5.209486152841421,0.99093,3.21,0.4,11.3,5
1,7.0,0.6,0.3,4.5,0.068,20.0,4.709530201312334,0.99914,3.3,1.17,10.2,5
1,7.0,0.69,0.07,2.5,0.091,15.0,3.091042453358316,0.99572,3.38,0.6,11.3,6
1,11.7,0.49,0.49,2.2,0.083,5.0,2.772588722239781,1.0,3.19,0.43,9.2,5
0,7.0,0.53,0.43,6.1,0.029,6.0,4.343805421853684,0.99118,3.08,0.5,12.5,8
1,7.2,0.695,0.13,2.0,0.076,12.0,3.044522437723423,0.99546,3.29,0.54,10.1,5
1,8.1,0.66,0.22,2.2,0.069,9.0,3.1780538303479458,0.9968,3.3,1.2,10.3,5
0,7.1,0.28,0.28,8.5,0.03,25.0,5.2574953720277815,0.99338,3.16,0.46,12.2,7
1,7.1,0.75,0.01,2.2,0.059,11.0,2.9444389791664403,0.99242,3.39,0.4,12.8,6
0,7.2,0.26,0.4,6.3,0.047,52.0,5.153291594497779,0.99573,3.18,0.53,9.5,6
0,6.8,0.18,0.37,1.5,0.027,37.0,4.543294782270004,0.992,3.3,0.45,10.8,6
0,6.3,0.255,0.37,1.1,0.04,37.0,4.74493212836325,0.9905,3.0,0.39,10.9,6
0,6.0,0.495,0.27,5.0,0.157,17.0,4.867534450455582,0.99396,3.03,0.36,9.3,5
0,6.5,0.22,0.72,6.8,0.042,33.0,5.1298987149230735,0.9958,3.12,0.36,9.2,6
0,7.0,0.11,0.32,4.6,0.057,59.0,4.976733742420574,0.9956,3.55,0.44,9.4,7
0,6.2,0.3,0.21,1.1,0.032,31.0,4.718498871295094,0.9889,2.97,0.42,12.2,6
0,7.2,0.26,0.32,10.4,0.062,23.0,4.74493212836325,0.9966,3.23,0.49,10.5,5
1,6.6,0.58,0.02,2.0,0.062,37.0,3.9889840465642745,0.99374,3.35,0.76,11.6,7
0,6.6,0.26,0.38,6.5,0.17,68.0,5.308267697401205,0.9956,3.19,0.38,9.4,6
0,6.2,0.28,0.22,7.3,0.041,26.0,5.062595033026967,0.9957,3.44,0.64,9.8,7
0,9.2,0.25,0.34,1.2,0.026,31.0,4.543294782270004,0.9916,2.93,0.37,11.3,7
0,5.7,0.4,0.35,5.1,0.026,17.0,4.736198448394496,0.99052,3.18,0.67,12.4,6
1,12.6,0.39,0.49,2.5,0.08,8.0,3.044522437723423,0.9992,3.07,0.82,10.3,6
0,6.7,0.26,0.3,1.8,0.043,25.0,4.804021044733257,0.9944,3.44,0.61,10.2,6
0,5.4,0.46,0.15,2.1,0.026,29.0,4.875197323201151,0.98953,3.39,0.77,13.4,8
0,9.4,0.3,0.32,10.7,0.029,14.0,4.718498871295094,0.9958,2.85,0.42,10.6,5
1,7.5,0.77,0.2,8.1,0.098,30.0,4.532599493153256,0.99892,3.2,0.58,9.2,5
1,8.4,0.56,0.04,2.0,0.082,10.0,3.1354942159291497,0.9976,3.22,0.44,9.6,5
0,5.6,0.18,0.3,10.2,0.028,28.0,4.882801922586371,0.9954,3.49,0.42,10.8,7
0,7.7,0.25,0.49,2.5,0.047,31.0,5.135798437050262,0.99252,3.07,0.57,10.6,6
1,6.7,0.76,0.02,1.8,0.078,6.0,2.5649493574615367,0.996,3.55,0.63,9.95,3
0,6.9,0.25,0.29,2.4,0.038,28.0,4.343805421853684,0.99088,3.01,0.36,11.7,7
1,6.9,0.4,0.24,2.5,0.083,30.0,3.828641396489095,0.9959,3.26,0.58,10.0,5
1,13.8,0.49,0.67,3.0,0.093,6.0,2.772588722239781,0.9986,3.02,0.93,12.0,6
0,6.7,0.3,0.45,10.6,0.032,56.0,5.3612921657094255,0.997,3.22,0.59,9.5,6
0,6.2,0.3,0.17,2.8,0.04,24.0,4.836281906951478,0.9939,3.01,0.46,9.0,5
0,5.8,0.28,0.28,4.2,0.044,52.0,5.0689042022202315,0.992,3.35,0.44,10.7,7
0,6.6,0.19,0.28,1.1,0.044,38.0,4.61512051684126,0.9904,3.22,0.69,11.2,6
1,7.1,0.59,0.01,2.3,0.08,27.0,3.784189633918261,0.9955,3.42,0.58,10.7,6
1,6.8,0.64,0.0,2.7,0.123,15.0,3.5263605246161616,0.99538,3.44,0.63,11.3,6
0,6.4,0.33,0.28,1.1,0.038,30.0,4.709530201312334,0.9917,3.12,0.42,10.5,6
0,6.7,0.34,0.3,15.6,0.054,51.0,5.2832037287379885,0.9982,3.19,0.49,9.3,5
1,4.7,0.6,0.17,2.3,0.058,17.0,4.672828834461906,0.9932,3.85,0.6,12.9,6
0,7.6,0.21,0.6,2.1,0.046,47.0,5.111987788356544,0.9936,3.05,0.54,10.1,7
0,7.3,0.14,0.49,1.1,0.038,28.0,4.605170185988092,0.9928,3.2,0.72,10.6,6
0,7.0,0.31,0.52,1.7,0.029,5.0,4.127134385045092,0.9918,3.07,0.43,10.4,5
1,10.6,0.5,0.45,2.6,0.119,34.0,4.23410650459726,0.99708,3.23,0.72,10.9,6
0,7.8,0.27,0.58,11.2,0.036,44.0,5.087596335232384,0.9977,3.06,0.41,8.9,6
1,5.9,0.55,0.1,2.2,0.062,39.0,3.9512437185814275,0.99512,3.52,0.76,11.2,6
0,6.7,0.18,0.19,4.7,0.046,57.0,5.087596335232384,0.9946,3.32,0.66,10.5,6
0,6.7,0.3,0.44,18.5,0.057,65.0,5.41610040220442,0.99956,3.11,0.53,9.1,5
0,6.8,0.32,0.39,9.6,0.026,34.0,4.8283137373023015,0.99286,3.18,0.35,12.1,6
0,5.6,0.19,0.31,2.7,0.027,11.0,4.61512051684126,0.98964,3.46,0.4,13.2,7
0,7.6,0.29,0.49,9.6,0.03,45.0,5.288267030694535,0.9938,3.13,0.38,12.3,7
0,6.1,0.22,0.38,2.8,0.144,12.0,4.189654742026425,0.9908,2.95,0.64,11.4,6
0,6.6,0.36,0.21,1.5,0.049,39.0,5.220355825078324,0.9928,3.18,0.41,9.9,6
0,6.5,0.29,0.25,10.6,0.039,32.0,4.795790545596741,0.9962,3.31,0.34,10.1,6
0,7.3,0.29,0.3,13.0,0.043,46.0,5.476463551931511,0.9986,3.06,0.41,8.7,6
0,6.5,0.26,0.32,6.65,0.059,34.0,4.653960350157523,0.99254,3.18,0.42,11.1,5
0,6.6,0.19,0.41,8.9,0.046,51.0,5.135798437050262,0.9954,3.14,0.57,9.8,6
0,7.1,0.3,0.46,1.5,0.066,29.0,4.897839799950911,0.9906,3.12,0.54,12.7,6
0,7.6,0.27,0.52,3.2,0.043,28.0,5.030437921392435,0.99129,3.02,0.53,11.4,6
0,5.7,0.21,0.32,0.9,0.038,38.0,4.804021044733257,0.99074,3.24,0.46,10.6,6
0,6.0,0.36,0.39,3.2,0.027,20.0,4.836281906951478,0.991,3.38,0.39,11.3,7
0,6.6,0.22,0.53,15.1,0.052,22.0,4.919980925828125,0.9986,2.94,0.35,9.4,5
0,7.3,0.25,0.36,13.1,0.05,35.0,5.303304908059076,0.9986,3.04,0.46,8.9,7
0,8.2,0.23,0.37,1.3,0.042,39.0,4.770684624465665,0.9928,2.99,0.36,10.0,5
1,8.9,0.875,0.13,3.45,0.088,4.0,2.70805020110221,0.9994,3.44,0.52,11.5,5
0,7.6,0.35,0.46,14.7,0.047,33.0,5.0238805208462765,0.99709,3.03,0.53,10.3,5
0,6.9,0.16,0.3,9.6,0.057,50.0,5.225746673713202,0.9978,3.39,0.38,9.6,6
0,7.4,0.28,0.4,11.9,0.032,13.0,4.532599493153256,0.99629,3.01,0.46,10.8,4
1,6.1,0.64,0.02,2.4,0.069,26.0,3.8501476017100584,0.99358,3.47,0.45,11.0,5
0,6.7,0.18,0.3,6.4,0.048,40.0,5.529429087511423,0.9956,3.29,0.52,10.0,5
0,7.1,0.25,0.49,3.0,0.03,30.0,4.574710978503383,0.9903,3.13,0.39,12.3,7
1,8.3,0.31,0.39,2.4,0.078,17.0,3.784189633918261,0.99444,3.31,0.77,12.5,7
1,9.1,0.52,0.33,1.3,0.07,9.0,3.4339872044851463,0.9978,3.24,0.6,9.3,5
0,6.7,0.48,0.32,1.4,0.021,22.0,4.804021044733257,0.9889,3.15,0.53,12.7,7
0,5.9,0.22,0.29,4.2,0.037,69.0,4.976733742420574,0.99214,3.13,0.74,10.8,7
0,6.5,0.3,0.27,4.0,0.038,37.0,4.584967478670572,0.99026,3.2,0.6,12.6,8
0,5.7,0.22,0.2,16.0,0.044,41.0,4.736198448394496,0.99862,3.22,0.46,8.9,6
1,8.1,0.53,0.22,2.2,0.078,33.0,4.499809670330265,0.99678,3.26,0.46,9.6,6
0,7.0,0.36,0.35,2.5,0.048,67.0,5.087596335232384,0.99146,3.05,0.56,11.1,6
0,7.2,0.22,0.28,7.2,0.06,41.0,4.890349128221754,0.9935,3.08,0.59,11.3,6
0,7.4,0.18,0.3,10.4,0.045,44.0,5.1647859739235145,0.9966,3.11,0.57,9.7,6
0,7.4,0.2,0.37,16.95,0.048,43.0,5.25227342804663,0.9995,3.03,0.42,9.2,6
1,6.6,0.725,0.09,5.5,0.117,9.0,2.8903717578961645,0.99655,3.35,0.49,10.8,6
0,7.0,0.17,0.31,4.8,0.034,34.0,4.890349128221754,0.9944,3.36,0.48,9.6,7
0,6.0,0.31,0.27,2.3,0.042,19.0,4.795790545596741,0.98952,3.32,0.41,12.7,7
0,8.8,0.35,0.49,1.0,0.036,14.0,4.04305126783455,0.992,2.96,0.33,10.5,4
0,7.6,0.37,0.51,11.7,0.094,58.0,5.204006687076795,0.99776,2.91,0.51,9.0,5
0,6.5,0.28,0.28,8.5,0.047,54.0,5.351858133476067,0.9962,3.09,0.54,8.9,4
0,7.0,0.25,0.45,2.3,0.045,40.0,4.77912349311153,0.99064,3.16,0.48,11.9,7
0,6.8,0.28,0.39,1.4,0.036,15.0,4.7535901911063645,0.9918,3.27,0.72,11.7,5
0,6.3,0.27,0.25,5.8,0.038,52.0,5.049856007249537,0.995,3.28,0.38,9.4,6
1,6.8,0.63,0.12,3.8,0.099,16.0,4.844187086458591,0.9969,3.28,0.61,9.5,5
0,7.2,0.28,0.3,10.7,0.044,61.0,5.407171771460119,0.9972,3.14,0.5,9.1,6
1,5.8,0.29,0.26,1.7,0.063,3.0,2.4849066497880004,0.9915,3.39,0.54,13.5,6
0,7.5,0.14,0.34,1.3,0.055,50.0,5.0369526024136295,0.9945,3.29,0.8,9.6,6
0,6.1,0.28,0.27,4.7,0.03,56.0,4.948759890378168,0.99042,3.16,0.42,12.5,8
0,5.9,0.29,0.25,12.0,0.057,48.0,5.41610040220442,0.9981,3.23,0.41,9.0,6
1,8.4,0.65,0.6,2.1,0.112,12.0,4.51085950651685,0.9973,3.2,0.52,9.2,5
0,7.2,0.2,0.36,2.5,0.028,22.0,5.062595033026967,0.9938,3.48,0.49,10.6,6
1,5.9,0.395,0.13,2.4,0.056,14.0,3.367295829986474,0.99362,3.62,0.67,12.4,6
1,7.7,0.63,0.08,1.9,0.076,15.0,3.332204510175204,0.9967,3.32,0.54,9.5,6
0,6.6,0.21,0.5,8.7,0.036,41.0,5.2574953720277815,0.99294,2.96,0.56,11.0,6
0,7.6,0.32,0.34,18.35,0.054,44.0,5.288267030694535,1.0008,3.22,0.55,9.0,5
0,6.1,0.25,0.49,7.6,0.052,67.0,5.424950017481403,0.9956,3.16,0.47,8.9,5
